id,full_name,age,salary,email,department,start_date
1,John Doe,30,50000,john.doe@example.com,Sales,2020-01-01
2,Jane Smith,40,60000,jane.smith@example.com,IT,2019-05-01
3,Bob InvalidType,25,fifty-k,bob.jones@example.com,Marketing,2021-01-01
4,Kid LowBound,10,0,kid.intern@example.com,Intern,2022-01-01
5,Old HighBound,150,100000,old.board@example.com,Board,1990-01-01
6,No Dept Name,35,55000,no.dept@example.com,,2020-02-01
7,Dupe Email,28,48000,john.doe@example.com,Sales,2020-03-01
8,Business Dupe A,22,40000,twins@example.com,Support,2023-01-01
9,Business Dupe B,22,40000,twins@example.com,Support,2023-01-01
10,Dirty Numeric 1,33,33000,dirty1@example.com,Ops,2021-05-01
11,Dirty Numeric 2,33,33000,dirty2@example.com,Ops,2021-06-01
